,ID,doc,Тип документу,Зразок,Замовник,Виробник,Густина кг/м3,ОЧД,ОЧМ,Фракція_70,Фракція_100,Фракція_150,10%,50%,90%,Кінець кипіння,Залишок після випаровування,ДНП,Індукційний період,Фактичні смоли,Сірка,Олефінові вуглеводні,Ароматичні вуглеводні,Бензол,Кисневмісні: метанол,Кисневмісні: етанол,Кисневмісні: ізопропіловий спирт,Кисневмісні: ізобутиловий спирт,Кисневмісні: третбутиловий, Кисневмісні: етери
91,1572/19,D:\Margo\python\protocols\Protocol_23.docx,ПРОТОКОЛ,"бензин автомобільний Shebel-А-92-Євро5-Е5, проба №18","Управління з переробки газу та газового конденсату ПАТ «Укргазвидобування», (Філія управління з переробки газу та газового конденсату, 39420, Україна, Полтавська область, Машівський р-н, с. Базилівщина, вул.. Польова,6, код ЄДРПОУ 25976423)",Управління з переробки газу та газового конденсату ПАТ «Укргазвидобування»,"749,6","93,2","84,9","36,5","51,5","88,0",na,na,na,"191,0","1,0","55,4",,1,"7,5","2,161","36,483","0,791","< 0,17(відсутність","< 0,17(відсутність)","(< 0,17(відсутність)","(< 0,17(відсутність)","(< 0,17(відсутність)","10,51"
92,1589/19,D:\Margo\python\protocols\Protocol_25.docx,ПРОТОКОЛ,бензин автомобільний неетильований А-92-Євро5-Е5,"Державна служба України з питань безпечності харчових продуктів та захисту споживачів, Головне управління Держпродспоживслужби в Одеській області, вул. 7-а Пересипська, 6, м. Одеса, 65042, код ЄДРПОУ 40342996","ВАТ «Мозирський нафтопереробний завод», Білорусь",na,"92,2","83,1",na,na,na,na,na,na,-,na,"56,9",na,na,"45,4","7,926","31,299","1,146","<0,17","0,951","<0,17","<0,17","<0,17","2,48"
93,1764/19,D:\Margo\python\protocols\Protocol_26.docx,ПРОТОКОЛ,бензину автомобільний А-92-Євро5-Е5,"Головне управління Держпродспоживслужби в Херсонській області,  7300, м. Херсон, вул. Перекопська, 17, код за ЄДРПОУ 4040867","Шебелинське відділення з переробки газового конденсату і нафти, с. Андріївка, Балаклійський р-н., Харківська обл. підрозділ Управління з переробки газу та газового конденсату АТ «Укргазвидобування», вул. Польова, 6, с. Базилівщина, Машівський р-н., Полтавська обл",na,"93,5","84,0",na,na,na,na,na,na,-,na,"66,7",na,na,"12,3","2,948",na,"1,246","1,8","20,8","<0,17","<0,17","<0,17","1,1"
94,1795/19,D:\Margo\python\protocols\Protocol_27.docx,ПРОТОКОЛ,бензину автомобільний А-95-Євро5-Е5,"Головне управління Держпродспоживслужби в Херсонській області,  7300, м. Херсон, вул. Перекопська, 17, код за ЄДРПОУ 40408678","ПАТ «Укрнафта», 39610, Україна, Полтавська обл, м.Кременчук, вул. Свіштовська, 3",na,"95,1","86,0",na,na,na,na,na,na,-,na,"71,6",na,na,"6,3","5,658",na,"0,595","<0,17","<0,17","<0,17","<0,17","<0,17","11,4"
95,291/19,D:\Margo\python\protocols\Protocol_29.docx,ПРОТОКОЛ,бензин автомобільний – проба № 1-9210,"ТОВ «Науково-виробниче підприємство «ДІН ЛТД», м. Київ, вул. Коноплянська, 12 код ЄДРПОУ 31999821 для ТОВ «Альянс Ойл Трейдінг»",інформація відсутня,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"6,7",na,"31,5","0,702",na,na,na,na,na,na
96,1062/19,D:\Margo\python\protocols\Protocol_3.docx,ПАСПОРТ,бензин автомобільний довготривалого зберігання А-80-ДЗ,-1,"постачальник: ТОВ «Ферст Груп», м. Кам’янське, Західний проїзд, 5","751,2","83,8","79,0",na,na,na,"65,0","102,0","153,5","194,0","1,0","48,8",,"1,0","3,3","1,591","34,7","0,935",відсутність,na,відсутність,відсутність,відсутність,відсутність
97,292/19,D:\Margo\python\protocols\Protocol_30.docx,ПРОТОКОЛ,бензин автомобільний – проба № 2-9220,"ТОВ «Науково-виробниче підприємство «ДІН ЛТД», м. Київ, вул. Коноплянська, 12 код ЄДРПОУ 31999821 для ТОВ «Альянс Ойл Трейдінг»",інформація відсутня,na,na,na,na,na,na,na,na,na,na,na,na,na,na,"7,1",na,"30,3","0,855",na,na,na,na,na,na
98,746/19,D:\Margo\python\protocols\Protocol_31.docx,ПРОТОКОЛ,бензин автомобільний А-95/GASOLINE АІ-95-К5,"Орган з оцінки відповідності ДП «Рівнестандартметрологія», 33028, м. Рівне, вул. Замкова, 31 (Замовник: ТОВ «ОРАНЖ ОІЛ», 03150, Україна, м. Київ, Голосіївський р-н., вул. Велика Васильківська, буд. 77-А, нежиле приміщення б/н, код ЄДРПОУ 40083098)","ООО «ГАЗПРОМ НЕФТЕХИМ САЛАВАТ», 453256, Республика Башкортостан,       г. Салават, ул. Молодогвардейцев, 30, Російська Федерація",na,"95,1","86,5",na,na,na,na,na,na,-,na,"48,8",na,na,"<3(1,1)","0,124","34,9","0,201","<0,17","<0,17","<0,17","<0,17","<0,17","4,27"
99,873/19,D:\Margo\python\protocols\Protocol_32.docx,ПРОТОКОЛ,бензин автомобільний Shebel-А-95-Євро5-Е5,"Державна служба України з питань безпечності харчових продуктів та захисту споживачів, Головне управління Держпродспоживслужби в Одеській області, вул. 7-а Пересипська, 6, м. Одеса, 65042, код ЄДРПОУ 40342996",УПГГК Шебелинське відділення з переробки газового конденсату і нафти АТ «Укргазвидобування»,na,"95,3","85,9",na,na,na,na,na,na,"<0,17",na,"57,7",na,na,"11,4","0,335","17,0","0,757","<0,17","3,4","<0,17","<0,17","<0,17","8,6"
100,1085/19,D:\Margo\python\protocols\Protocol_33.docx,ПАСПОРТ,-1,-1,"інформація відсутня;  Сертифікат відповідності: інформація відсутня;Виробник: (постачальник): ТОВ «Ферст Груп», м. Кам’янське, Західний проїзд, 5. Нафтобаза: інформація відсутня.Проба №1085/19КР; резервуари: В\Ц №75079970, 73948580,72844665,73742116,74748872","753,7","83,1","78,0",na,na,na,"68,0","106,0","159,0","196,0","1,1","47,6",,"1,0","4,6","1,591","34,9","0,988",відсутність,na,відсутність,відсутність,відсутність,відсутність
101,1086/19,D:\Margo\python\protocols\Protocol_34.docx,ПАСПОРТ,-1,-1,"інформація відсутня;  Сертифікат відповідності: інформація відсутня;Виробник: (постачальник): ТОВ «Ферст Груп», м. Кам’янське, Західний проїзд, 5. Нафтобаза: інформація відсутня.Проба №1085/19КР; резервуари: В\Ц №74734229, 75080168,73948077,7394878,74949280","753,7","83,1","78,0",na,na,na,"68,0","106,0","159,0","196,0","1,1","47,6",,"1,0","4,6","1,591","34,9","0,988",відсутність,na,відсутність,відсутність,відсутність,відсутність
102,1088/19,D:\Margo\python\protocols\Protocol_35.docx,ПАСПОРТ,-1,-1,"інформація відсутня;  Сертифікат відповідності: інформація відсутня;Виробник: (постачальник): ТОВ «Ферст Груп», м. Кам’янське, Західний проїзд, 5. Нафтобаза: інформація відсутня.Проба №1085/19КР; резервуари: В\Ц №72846447, 74229444,74046236,77209955,74235375","753,2","81,4","77,6",na,na,na,"67,0","105,0","155,0","197,0","1,0","47,1",,"1,0","4,7","1,572","34,9","0,975",відсутність,na,відсутність,відсутність,відсутність,відсутність
103,1093/19,D:\Margo\python\protocols\Protocol_36.docx,ПАСПОРТ,-1,-1,"інформація відсутня;  Сертифікат відповідності: інформація відсутня;Виробник: (постачальник): ТОВ «Ферст Груп», м. Кам’янське, Західний проїзд, 5. Нафтобаза: інформація відсутня.Проба №1085/19КР; резервуари: В\Ц №73991671, 73924813, 74748401, 72800188, 74738535","749,2","82,3","78,1",na,na,na,"64,5","102,0","154,0","195,0","1,0","47,6",,"1,0","4,4","1,518","34,5","0,887",відсутність,na,відсутність,відсутність,відсутність,відсутність
